tokenized_and_stemmed,tweet_english
pak ganjar masihh komitmen terus ikn bansos ubah ndasmu,Mr Gangar is still committed to continuing social assistance to change your NDAS
anies ngomong stop ikn cuma d tinjau ulang bantu jelasin juga dengan uu ikn d buat malam ada diskusi investasi kota bom jadi lebih berat dri investasi kota udah karena akan mulai 0,Anies said stop ikn just review it and help explain also with the ikn law for the evening there will be a discussion on bomb city investment so it will be heavier than city investment already because it will start 0
iya mas ruu yang udah2 kan ruu di sahkan saja tempo singkat singkat nya kalo yang punya butuh desak contoh ikn,"Yes sir, the bills that have already been passed will only be passed in a short time, if those who have them need to press for examples of IKN"
klo masalah proyek infrastruktur sebenernya anies jg pny proyek infrastruktur ngembangin 40 kota udah dan efek jauh lebih masif dri ikn ekonomi karena ada pusat ekonomi baru,"In terms of infrastructure projects, Anies also has infrastructure projects to develop 40 cities and the effects are much more massive than economic ones because there are new economic centers"
kalo sih lebih jelas ttg perata bangun 40 kota tara jkt mana d rasa sama rakyat di lihatin rekam jejak pak anis pas d jkt udah bangun trus ikn cmn d satu tmpt saja yang nikmat bukan rakyat dana gede bgt,"If it's clearer about the leveling of the 40 cities of Tara, Jkt, where the people feel, look at Mr. Anis's track record when Jkt has built it and then just putting it in one place is delicious, not the people, the funds are really big."
agustinus selaku panglima jilah rupa pimpin pasu merah tbbr kata dukung beri prabowo lantar paslon nomor urut 2 sebut komitmen lanjut program jokowi khusus bangun ibu kota negara ikn nusantara,"Agustinus, as the commander of Jilah Rupa, leads the red pasu TBBR, says he supports Prabowo, as candidate pair number 2 says he is committed to continuing Jokowi's program specifically to build the nation's capital, IKN archipelago."
sampai lapang sepakbola ikn 8 biji ikn lebih bagus bikin bagi 8 lapang sepakbola tsb provinsi2 main langgan masuk timnas,"up to the IKN football field, 8 IKN seeds, it's better to share the 8 football fields for the provinces to play and join the national team"
anjing ikn nangor najis banget mau kamu taro,The fish dog is so unclean that you want to put it away
cumil maiii,cumil maiii
alil pas udah nyampe jkt liat postingan star tidak ken balik ke pesawat  udah bawain fron ikn nyata keduluan tiktok shop ,"Alil, when I arrived in Jakarta, saw Star's post, I didn't want to get back on the plane, I brought the real IKN front first, TikTok Shop"
kurang lagi wo tni polri plt gub pns bawaslu mk kpu menteri kepala desa sdh kalian kuasa masyarakat indonesia cerdas sdh tahu oligarki di paksa dukung ikn itu main kalian bodoh rakyat indonesia ,"no more, wo TNI Polri Acting Governor PNS Bawaslu MK KPU Minister Village Head You are already in power, the intelligent Indonesian people already know that oligarchs are forced to support IKN, you are playing, you are stupid, the Indonesian people"
jadi kalo bom baik tunggu gabisa lah masing2 pegang kartu as terus2an musuh ikn depan mata infrastruktur proyek paling becyek buat korup proyek ribu triliun ughh masa yang mau tinggal gerudukan,"So, if the bomb is good, you can't wait, you can't each hold an ace card, the enemy will always be right in front of your eyes, the worst project infrastructure for corrupting the thousand trillion project, ughh, who wants to just muddle along?"
kalo sih lebih ikn rasa bukan rakyat biaya nya gede banget lebih baik dana nya buat perata bangun 40 kota yang tara jakarta d jaman pak anis,"If you don't feel like it's the people, the costs are really big, it's better if the funds are used to level the 40 cities that were in Jakarta during Pak Anis' era."
soekarno mau bangun gbk di demo efek rakyat kecil lagi ini hutang klasik kl melulu emang kakak udah lihat masa depan kl ikn hancurin rakyat hanya baca opini oposisi tuh cawapres 01 sampe ikut potong tumpeng segala,"Soekarno wants to build Gbk in the demonstrations, the effect of the small people is again, this is classic debt, if only you have seen the future, if Ikn will destroy the people, just read the opinion of the opposition, the 01 vice presidential candidate until you join in cutting all the tumpeng."
ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis ganjar-mahfud lanjut bansos menggurang justru tambah cakup,reward commitment to continue ikn continue social assistance
surya paloh maupun cak imin bagi rezim bilang pion jokowi jg asli anies jadi jg ikn mah ttp jalan program2 strategis nasional lain jg jelas beda mah porsi bagi2 jabat macem bakal metri nasdem pks pkb timsesnya,"Surya Paloh and Cak Imin for the regime say that Jokowi's pawn is also from Anies, so it's also true that the implementation of other national strategic programs is also clearly different, the portions for various positions will be the Nasdem PKS PKB Timses"
sdh jurnalis informasi motif benar paslon belah mulai proyek ikn bangun kcic ujung2nya subsidi pajak motor bensin yang dampak langsung rasa rakyat kecil ,"the journalist has provided information on the correct motives of the candidate pairs, starting the IKN project to build KCIC. The end result is a tax subsidy on petrol motorbikes which has a direct impact on the feelings of the little people."
ubah mbah ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis ganjar-mahfud lanjut bansos menggurang justru tambah cakup,change mbah reward commitment continue ikn continue social assistance Nusron says reallocate social assistance funds for free meals Gangar-Mahfud continue social assistance reduces but actually increases coverage
ikn kak ,Ikn sis
pdhl pak ganjar komitmen lanjut ikn,even though sir rewarded my commitment to continue
ubah mbah mu pak ganjar komitmen terus ikn masih lanjut bansos kurang justru tambah cakup,"Change your sis, sir, reward your commitment and continue, but the social assistance continues to be less than it is, in fact, it is becoming more comprehensive"
lahh pak ganjar masih komitmen lanjut ikn,"Well, Mr Gangar is still committed to continuing"
up kan masalah kait konsep ikn pak,"Up, there's a problem with the concept of IKN, sir"
makan siang gratis ajar dana 400t per tahun belanja negara 2023 3000t mau ngambil sektor mana tahan jamin naek why anggar kemenhan tinggi dia jabat bom anggar ikn,"free lunch and teaching fund 400t per year state expenditure 2023 3000t what sector will you take, guarantee it will increase why is the ministry of defense fencing high, he holds the IKN fencing bomb"
udh pusing balikin utang kcic ehhh nambah utang ikn utang naikin gaji jabat utang makan siang susu utang dukung nyapres,"I'm already confused about paying back Kcic's debt, ehhh, increasing debt, debt, increasing salary, debt, lunch, milk, debt, support for the presidential candidate"
kalau perkara apbn udah sadar kalau bansos dari apbn cuma itu proyek infrastruktur cari aku udah kali bahas bangkrut bumn tetep takut sama anies perkara berhentiin ikn riwayat reklamasi,"As for the APBN case, I'm aware that social assistance from the APBN is just an infrastructure project. Look, I've discussed bankruptcy several times, but I'm still afraid of Anies regarding the case of stopping IKN's history of reclamation."
catat ikn jadi beban negara sangat berat,Note that fish is a very heavy burden on the state
nambah utang lagi impor sapi mikir ikn lagi giant sea wall ya,"Add more debt to import cattle, think about giant sea wall fish again"
lama ikn amp kcic mau dijalanin terus siap2 ngelihat kacau akademik ptn kaya gin terus,It's been a long time since I've been running KCIC and I'm ready to see PTN's academic chaos like gin continues
parrah udah ajak diskusi perihal ikn sesuai tuju perata ujung2nya selalu balikin anies tuh belakang habib2 ,"Parrah has invited me to discuss fish according to the aim of the flatter, in the end he always returns Anies to Habib2"
soal ikn blh banget orang mikir kalo ikn program bagus maslahat bangsa ketika prioritas mundur sama gimana cara yakin orang kalo dinasti perintah skrg bagus karena imej mata dukung udah kayak kerja tuhan,"regarding fish, people really don't think that fish is a good program for the benefit of the nation when priorities are set aside, how can people be sure that the current ruling dynasty is good because the image of the people supporting it is like the work of God"
owalaaahh baru tau aku nyata ikn ada gegara proyek reklamasi nya gagal,"owalaaahh, I just found out that it was actually because the reclamation project failed"
kayak turut bakal lebih bijak deh biss buat politis entah ikn cemar udara kalo konsrrvasi aku pribadi bakal jarang bahas ya,"It seems like it would also be wiser for politics, whether it's air pollution or conservation, I personally would rarely talk about it, right?"
teman dukung ikn dari tiga paslon 01 prioritas ikn cemas bangun ikn batal walaupun udh ada uunya counternya gimana,"Friends, support IKN from three candidate pairs 01, IKN's priorities are worried about getting up, IKN will be canceled even though there is already a counter law, what about it?"
prabowo cinta rakyat prabowo klaim warga pulau kalimantan dukung ikn kalimantan selatan,Prabowo loves the people. Prabowo claims that the residents of the island of Kalimantan support the South Kalimantan fishery
minyak ikn,fish oil
rakyat pulau kalimantan dukung ikn arti rakyat nya terasut kelompok elit elit jahil ada pusat pulau jawa bangga 78 thn indonesia merdeka jadi pulau kalimantan jadi ikn indonesia timur thn 2024 hutri 79 upacara ikn,"The people of the island of Kalimantan support IKN, which means that the people are part of the elite group, the ignorant elite, there is a center on the island of Java, proud of 78 years of Indonesia's independence, so the island of Kalimantan becomes IKN, East Indonesia in 2024, Hutri 79, IKN ceremony"
waktu istirahat,time off
seperti sama kurir,just like the courier
smg ikn lanjut pak ganjar 2 kali dukung bapak kali harus dukung ganjar akhir jabat bapak nampak jalan spt dulu sangat sayang,"I hope you will continue sir, reward twice, support you, sir, you have to support the reward at the end of your term, sir, you seem to be walking like before, very dear"
