full_text,tokenized_and_stemmed,tweet_english
the downfall of ikn usul lahan bangun sdh lanjur bangun jadi pusat teliti pangan hutan dunia lebih manfaat,the downfall of ikn usul lahan bangun sdh lanjur bangun jadi pusat teliti pangan hutan dunia lebih manfaat,The downfall of IKN's proposal for land to be built has become a world forest food research center with more benefits
gimana jelasinnya simpel kalau jelas ikn sudah anggar uunya ubah proyek tol baru mau bebas lahan  soal mungkin bawa teknis keburu jenuh ,gimana jelasinnya simpel kalau jelas ikn sudah anggar uunya ubah proyek tol baru mau bebas lahan soal mungkin bawa teknis keburu jenuh,"How can you explain it simply, if it's clear that the law has already been budgeted for changing the new toll road project to free up land, the question is that it might lead to technical boredom."
justru biar ikn cpt progressnya memek istilah kata kerjasama antar negara kata jual negara gabisalah orang investasi nama yang puterin uang macam freeportlah kalo mau tunda tunda mau gimana anis mau lanjutin ikn masa ente ikut gsetuju,justru biar ikn cpt progressnya memek istilah kata kerjasama antar negara kata jual negara gabisalah orang investasi nama yang puterin uang macam freeportlah kalo mau tunda tunda mau gimana anis mau lanjutin ikn masa ente ikut gsetuju,"In fact, so that the IKN progresses quickly, the term for cooperation between countries, the words selling the country, can't be done by people who invest in names that make money like Freeport. If you want to postpone it, what do you want to do? Anis wants to continue the IKN. When you join in, I agree."
kalau sy-nya paham cara pribadi malah lebih pesimis serta modal dari nggak jelas nggak paham psn kalau jelas ikn yang uu ubah cuma tol  situ sy langsung back down ,kalau sy-nya paham cara pribadi malah lebih pesimis serta modal dari nggak jelas nggak paham psn kalau jelas ikn yang uu ubah cuma tol situ sy langsung back down,"If I understand personal methods, I'm even more pessimistic and I don't understand capital if I don't understand PSN. If it's clear that what you're changing is just tolls, I'll immediately back down."
alas lengkap apa tuhh karena rencana mau lanjutin ikn kenapa anies mohon jelas,alas lengkap apa tuhh karena rencana mau lanjutin ikn kenapa anies mohon jelas,"What's the complete basis? Because the plan is to continue, why Anies, please explain"
awokwokwok apa kabar ikn,awokwokwok apa kabar ikn,awokwokwok what's up Ikn
ohh investor ikn ya,ohh investor ikn ya,"Oh, investors, yes"
kyknya orang indon uda ikhlas kalo food estate 2 0 uu ite 2 0 5subsidi bbm sama gas cabut pajak motor dinaikin buat tambal lrt kereta cepat ikn naikin gaji jabat program susu 400t yang ptg prabs presiden soal gemoy kasi,kyknya orang indon uda ikhlas kalo food estate 2 0 uu ite 2 0 5subsidi bbm sama gas cabut pajak motor dinaikin buat tambal lrt kereta cepat ikn naikin gaji jabat program susu 400t yang ptg prabs presiden soal gemoy kasi,It seems like Indonesians are willing to accept food estate 2 0 UU IT
wkwkwk proyek rentan ladang korupsi lah otak kamu kan nyampe 40 kota udh hanya tinggal kembang lebih rata se indonesia krana memang udh banyk duduk situ ikn hutan belantara cm berapa banyak duduk sana,wkwkwk proyek rentan ladang korupsi lah otak kamu kan nyampe 40 kota udh hanya tinggal kembang lebih rata se indonesia krana memang udh banyk duduk situ ikn hutan belantara cm berapa banyak duduk sana,"wow, the project is vulnerable to corruption, your brain has reached 40 cities, it's only growing more evenly throughout Indonesia, because there are already a lot of people sitting there, like wilderness, how many people are sitting there?"
wkwkwk diitung sama ikn kata siapa anak ekonomi kan ya paham renstra ikn paham alur dana ikn fokus bahas masalah utang puluh ribu eh dibandinginnya sama ikn mosok akademisi asal nyeletuk opini kosong gin,wkwkwk diitung sama ikn kata siapa anak ekonomi kan ya paham renstra ikn paham alur dana ikn fokus bahas masalah utang puluh ribu eh dibandinginnya sama ikn mosok akademisi asal nyeletuk opini kosong gin,"hahaha, if you count it the same way, who said economics kids understand strategic planning, understand the flow of funds, focus on discussing tens of thousands of debts, eh, compared to ikn, you're a mockery of academics just spouting empty opinions, right?"
ampun benar habis bilang heru tuh bilang asn performa buruk bakal pindah ikn malah jawab mungkin lah itu  padahal bapake 60,ampun benar habis bilang heru tuh bilang asn performa buruk bakal pindah ikn malah jawab mungkin lah itu padahal bapake 60,"sorry, that's right, after saying heru, you said ASN's poor performance would move, but instead he answered, maybe that's it, even though my father is 60"
ganjar jelas komitmen terus ikn bansos luas prabowo-gibran solusi lanjut negeri ini,ganjar jelas komitmen terus ikn bansos luas prabowo-gibran solusi lanjut negeri ini,Reward clearly Prabowo-Gibran's continued commitment to broad social assistance for further solutions in this country
bangun ikn prabowo klaim dukung penuh suku dayak,bangun ikn prabowo klaim dukung penuh suku dayak,wake up IKN Prabowo claims to fully support the Dayak tribe
ubah mana ganjar terus ikn bansos makin luas pilih cerdas lanjut nyata,ubah mana ganjar terus ikn bansos makin luas pilih cerdas lanjut nyata,"Change the rewards and get wider social assistance, choose smart and real"
kait isu global warming tentu ikn hrs dukung bgm bangun kota konsep ecogreen dlm infrastruktur gedung jalan sedia energi air bersih jaga udara lingkung kelola limbah dan kalah penting penabganan sdm,kait isu global warming tentu ikn hrs dukung bgm bangun kota konsep ecogreen dlm infrastruktur gedung jalan sedia energi air bersih jaga udara lingkung kelola limbah dan kalah penting penabganan sdm,"related to the issue of global warming, of course we have to support how to build cities with an ecogreen concept in building infrastructure, roads, energy, clean water, maintaining environmental air, managing waste and the importance of human resource savings."
pilih 03 anti anies paham kalau negara akomodasi golput  -krn trauma jadi 212 anies ride the wave makan isu anies setir us tidak lanjut ikn pola pikir nya sama yang golput ikn bikin perata cara biasa pas diskusi adl cont,pilih 03 anti anies paham kalau negara akomodasi golput -krn trauma jadi 212 anies ride the wave makan isu anies setir us tidak lanjut ikn pola pikir nya sama yang golput ikn bikin perata cara biasa pas diskusi adl cont,vote 03 anti-anies understands that the accommodation country is abstaining - because of the trauma of being 212 anies ride the wave eating the issue of anies steering us not continuing ikn the mindset is the same as those who abstained ikn making the usual method during the discussion is cont
asal njeplos gatau arah ron nusron jelas ubah indonesia lebih baik maju lanjut ikn lanjut bansos sesuai bukan malah rang,asal njeplos gatau arah ron nusron jelas ubah indonesia lebih baik maju lanjut ikn lanjut bansos sesuai bukan malah rang,"As long as it's clear, I don't know if Ron Nusron's direction is clear to change Indonesia, it's better to move forward, continue social assistance according to not even rang"
mbah bilang ubah ganjar tetap konsisten terus ikn bansos malah tambah cakup lanjut bisa andal,mbah bilang ubah ganjar tetap konsisten terus ikn bansos malah tambah cakup lanjut bisa andal,Mbah said that changing the rewards remains consistent and the social assistance becomes even more comprehensive and can be reliable
tmn2 untung udh banyak golput bbrp 03 anti anies golput ini semua politik sama meski anies non partai lanjutin ikn logika makan ikn simbol baik perata anies too good to be true bisa jadi evil cont,tmn2 untung udh banyak golput bbrp 03 anti anies golput ini semua politik sama meski anies non partai lanjutin ikn logika makan ikn simbol baik perata anies too good to be true bisa jadi evil cont,"tmn2, fortunately, there have been a lot of abstentions, some 03 anti-anies abstentions, all politics are the same, even though anies is a non-party, continue ikn logic, eating ikn symbols, good perata, anies too good to be true, could be evil cont"
svt kamu nunggu ikn apa gimana sih gue sedih bgt,svt kamu nunggu ikn apa gimana sih gue sedih bgt,svt what kind of fish are you waiting for? I'm really sad
aku 99 asal jawa dom jakpus jg k l pusat kloter 1 pindah ikn aku sih msh tolak realita mau pindah  mutualan bole lah,aku 99 asal jawa dom jakpus jg k l pusat kloter 1 pindah ikn aku sih msh tolak realita mau pindah mutualan bole lah,"I'm 99 from Java and Jakarta, also at the center of group 1 I'm moving, but I'm still rejecting the reality of wanting to move mutually, that's fine."
ganjar memang pilih tepat komitmen terus ikn bansos tetap jalan bahkan tingkat lanjut kita butuh,ganjar memang pilih tepat komitmen terus ikn bansos tetap jalan bahkan tingkat lanjut kita butuh,"reward is indeed choosing the right commitment to keep the social assistance going, even at the advanced level we need"
ubah mana benar ron nusron ganjar-mahfud justru lanjut ikn lanjut bansos kurang,ubah mana benar ron nusron ganjar-mahfud justru lanjut ikn lanjut bansos kurang,"Change, where is it true that Ron Nusron Ganjar-Mahfud actually continues, IKN continues, social assistance is lacking"
min gimana nanggepin temen gue pikir lanjutin ikn banding bangun 40 sudah kembang jadi maju,min gimana nanggepin temen gue pikir lanjutin ikn banding bangun 40 sudah kembang jadi maju,"Min, how do I respond to my friend? I think I'm going to continue with the appeal of waking up to 40, so I'm progressing"
bandingin sama internet cobak banding sama ikn penting mana,bandingin sama internet cobak banding sama ikn penting mana,"Compare it with the internet, try to compare it with which information is important"
jujur ak skeptis sama lanjut ikn ak susah percaya kalo pulau luar jawa bakal jadi bangun infrastruktur ya lama tau indo udh nyoba buat ngga jawa sentris tapi rasa kembang cuma pulau jawa doang,jujur ak skeptis sama lanjut ikn ak susah percaya kalo pulau luar jawa bakal jadi bangun infrastruktur ya lama tau indo udh nyoba buat ngga jawa sentris tapi rasa kembang cuma pulau jawa doang,"To be honest, I'm skeptical and I'm having a hard time believing that islands outside Java will develop infrastructure, I've known for a long time that Indonesia has tried to make it not Java-centric, but I think it's only Java that's developing."
moga ada jegal kampanye harap ikn kelak bangun bangsa sendiri biar anak2 nanti bangun perlu keburu2 sekarang bangun sdm dulu,moga ada jegal kampanye harap ikn kelak bangun bangsa sendiri biar anak2 nanti bangun perlu keburu2 sekarang bangun sdm dulu,I hope there will be failures in the campaign. I hope that in the future we will build our own nation so that our children will wake up and we need to hurry now and build up first.
pak ganjar komitmen ikn,pak ganjar komitmen ikn,Sir rewards IKN's commitment
fbr dukung lanjut ikn lewat ganjar-mahfud md,fbr dukung lanjut ikn lewat ganjar-mahfud md,FBR continues to support IKN via Ganjar-Mahfud MD
ikn gk urgent usah kesusu biar bangun sendiri ikn saat generasi telah siap usah ngandalin investor luar,ikn gk urgent usah kesusu biar bangun sendiri ikn saat generasi telah siap usah ngandalin investor luar,"If it's not urgent, you need to get sucked so you can build it yourself. When the generation is ready, you don't have to rely on outside investors."
titip tanya pak atas dasar apa saudara gibran percaya kalau ikn bentuk program perata adil indonesia,titip tanya pak atas dasar apa saudara gibran percaya kalau ikn bentuk program perata adil indonesia,"I'll ask you, sir, on what basis does Brother Gibran believe that this is an Indonesian fair leveling program?"
institut kraf negara lalu jurus seni kraf logam hari telah ada demontrasi tukang pamer cucuk sanggul anjur ajar tahun 3 fakulti urus seni budaya waris aswara,institut kraf negara lalu jurus seni kraf logam hari telah ada demontrasi tukang pamer cucuk sanggul anjur ajar tahun 3 fakulti urus seni budaya waris aswara,the state crafts institute and metal crafts art style today there was a demonstration of the 3rd year teacher's chignon showman showing off the faculty of arts and culture heir aswara
pak ganjar komitmen terus ikn lanjut bansos kurang justru tambah cakup perubaha bagaimana bestiee hadeh,pak ganjar komitmen terus ikn lanjut bansos kurang justru tambah cakup perubaha bagaimana bestiee hadeh,"Sir, reward your continued commitment to continue social assistance, but it actually adds to the scope of change in how bestiee haseh"
debat cawapres sebentar tema sda sdm lingkung hidup masyarakat adat request dong cawapres2ku tema pas banget disangkungin sama sejahtera rakyat ikn utama buat cak imin bisa buat counter masalah tumpeng kemaren tuh,debat cawapres sebentar tema sda sdm lingkung hidup masyarakat adat request dong cawapres2ku tema pas banget disangkungin sama sejahtera rakyat ikn utama buat cak imin bisa buat counter masalah tumpeng kemaren tuh,"short cawapres debate, the theme of natural resources and human resources, the environment of indigenous peoples, please request my cawapres, the theme is really fitting to be aligned with the welfare of the people, the main topic for cak imin can make a counter to yesterday's tumpeng problem."
